ISO,Country,Subject Descriptor,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
ARG,Argentina,Unemployment rate,7.6,6.48,7.112,11.606,13.348,18.904,18.76,16.808,14.789,16.061,17.134,19.209,22.45,17.25,13.625,11.575,10.175,8.475,7.875,8.675,7.75,7.15,7.2,7.075,7.25,6.533,8.467,8.35,9.2,9.825
ABW,Aruba,Unemployment rate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,7.544
BHS,The Bahamas,Unemployment rate,12,12.3,14.8,13.1,13.292,10.9,11.505,9.779,7.743,7.796,7,6.9,9.102,10.835,10.202,10.17,7.628,7.853,8.703,14.246,15.082,15.889,14.367,15.782,14.636,13.379,12.15,10.1,10.35,10.653
BRB,Barbados,Unemployment rate,14.945,17.236,22.915,24.41,21.75,19.625,15.75,14.55,12.15,10.35,9.35,9.85,10.3,11,9.575,9.075,8.725,7.425,8.125,9.975,10.25,11.15,11.5,11.625,12.275,11.3,9.65,9.95,10.05,10.357
BLZ,Belize,Unemployment rate,15,14,12,10,9,12.5,13.8,12.7,14.3,12.8,11.4,11.4,10,12.9,11.6,11,9.4,10.3,8.2,12.827,18.515,16.714,15.25,12.95,11.578,10.157,9.55,9.35,9.725,9
BOL,Bolivia,Unemployment rate,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,7.462,8.498,8.69,8.708,8.427,8.146,7.992,7.668,4.43,4.913,4.375,3.837,3.229,4,4,4,4,4,4,4
BRA,Brazil,Unemployment rate,n/a,10.1,11.6,11,10.5,9.9,11.2,11.6,14.7,14.7,13.9,12.5,13,13.7,12.9,11.4,11.5,10.9,9.4,9.7,8.5,7.8,7.4,7.2,6.783,8.283,11.258,12.767,12.258,11.925
CHL,Chile,Unemployment rate,7.75,8.217,6.7,6.5,7.808,7.375,6.5,6.108,6.217,10.008,9.708,9.867,9.8,9.533,10.017,9.3,7.95,7.008,7.75,11.053,8.305,7.3,6.595,6.082,6.495,6.328,6.685,6.965,7.377,7.223
COL,Colombia,Unemployment rate,6.637,6.377,5.935,5.038,4.914,5.649,7.8,7.9,9.7,13.1,13.325,14.975,15.583,14.108,13.667,11.808,12.042,11.192,11.25,12.017,11.775,10.808,10.375,9.658,9.092,8.908,9.217,9.367,9.683,10.517
CRI,Costa Rica,Unemployment rate,4.642,5.5,4.1,4.1,4.2,5.2,6.2,5.7,5.6,6.022,5.193,6.072,6.403,6.668,6.495,6.63,5.962,4.597,4.948,7.822,9.213,10.492,9.849,8.311,9.658,9.604,9.541,9.293,11.951,12.417
DOM,Dominican Republic,Unemployment rate,n/a,9.237,9.537,9.337,7.387,7.287,7.537,7.187,7.387,6.287,8.05,9.083,8.479,8.674,7.879,8.237,7.075,6.452,5.959,6.835,6.52,7.613,8.407,9.196,8.538,7.328,7.08,5.509,5.656,6.167
ECU,Ecuador,Unemployment rate,6.1,8.5,8.9,8.3,5.696,5.493,9.046,7.828,10.163,13.107,7.625,9.554,7.828,10.163,7.219,7.095,6.687,6.923,5.95,6.47,5.02,4.21,4.12,4.15,3.8,4.77,5.21,4.62,3.69,3.84
SLV,El Salvador,Unemployment rate,10,8.7,9.3,9.9,7.7,7.6,7.7,8,7.3,6.4,6.7,6.96,6.23,6.915,6.78,7.2,6.6,6.3,5.9,7.3,7,6.6,6.1,5.9,7,7,7.1,7.049,6.347,6.733
HND,Honduras,Unemployment rate,4.267,4.58,3.06,3.047,2.999,3.24,4.37,3.32,4.02,3.85,4.036,4,4.02,5.3,5.99,4.909,3.575,3.211,3.156,3.292,4.119,4.475,3.754,4.096,5.488,4.592,4.668,4.048,4.076,4.109
JAM,Jamaica,Unemployment rate,15.7,15.4,15.7,16.3,15.4,16.2,16,16.5,15.5,15.7,15.5,15,14.2,11.8,12.2,11.225,10.325,9.85,10.575,11.35,12.375,12.4,13.925,15.275,13.75,13.5,13.2,11.65,9.125,7.7
MEX,Mexico,Unemployment rate,2.742,2.692,2.83,3.43,3.7,6.23,5.45,3.73,3.16,2.5,2.2,2.768,2.978,3.4,3.919,3.478,3.528,3.61,3.887,5.329,5.272,5.171,4.891,4.903,4.823,4.349,3.883,3.423,3.331,3.493
NIC,Nicaragua,Unemployment rate,15.5,14.9,14.4,15,17.1,16.907,15.953,14.274,13.213,10.683,9.8,6.4,12.2,6.998,6.537,5.559,5.193,5.935,6.062,8.158,7.829,5.93,5.912,5.746,6.557,5.909,4.481,3.67,5.5,6.127
